Rank,Name,Age,Position,Country,club,Value
1,Kylian Mbappé,21,Left Winger,France,Paris Saint-Germain,£162.00m 
2,Raheem Sterling,25,Left Winger,England,Manchester City,£115.20m 
3,Neymar,28,Left Winger,Brazil,Paris Saint-Germain,£115.20m 
4,Sadio Mané,28,Left Winger,Senegal,Liverpool FC,£108.00m 
5,Mohamed Salah,28,Right Winger,Egypt,Liverpool FC,£108.00m 
6,Harry Kane,27,Centre-Forward,England,Tottenham Hotspur,£108.00m 
7,Kevin De Bruyne,29,Attacking Midfield,Belgium,Manchester City,£108.00m 
8,Jadon Sancho,20,Right Winger,England,Borussia Dortmund,£105.30m 
9,Trent Alexander-Arnold,22,Right-Back,England,Liverpool FC,£99.00m 
10,Lionel Messi,33,Right Winger,Argentina,FC Barcelona,£90.00m 
11,Serge Gnabry,25,Right Winger,Germany,Bayern Munich,£81.00m 
12,Jan Oblak,27,Goalkeeper,Slovenia,Atlético Madrid,£81.00m 
13,Joshua Kimmich,25,Defensive Midfield,Germany,Bayern Munich,£76.50m 
14,Romelu Lukaku,27,Centre-Forward,Belgium,Inter Milan,£76.50m 
15,Kai Havertz,21,Attacking Midfield,Germany,Chelsea FC,£72.90m 
16,Ansu Fati,18,Left Winger,Spain,FC Barcelona,£72.00m 
17,João Félix,20,Second Striker,Portugal,Atlético Madrid,£72.00m 
18,Alphonso Davies,20,Left-Back,Canada,Bayern Munich,£72.00m 
19,Erling Haaland,20,Centre-Forward,Norway,Borussia Dortmund,£72.00m 
20,Marcus Rashford,23,Left Winger,England,Manchester United,£72.00m 
21,Bernardo Silva,26,Right Winger,Portugal,Manchester City,£72.00m 
22,Bruno Fernandes,26,Attacking Midfield,Portugal,Manchester United,£72.00m 
23,Paulo Dybala,26,Second Striker,Argentina,Juventus FC,£72.00m 
24,Virgil van Dijk,29,Centre-Back,Netherlands,Liverpool FC,£72.00m 
25,Antoine Griezmann,29,Centre-Forward,France,FC Barcelona,£72.00m 
26,Paul Pogba,27,Central Midfield,France,Manchester United,£72.00m 
27,Alisson,28,Goalkeeper,Brazil,Liverpool FC,£72.00m 
28,Andrew Robertson,26,Left-Back,Scotland,Liverpool FC,£67.50m 
29,Thibaut Courtois,28,Goalkeeper,Belgium,Real Madrid,£67.50m 
30,Heung-min Son,28,Left Winger,"Korea, South",Tottenham Hotspur,£67.50m 
31,Marc-André ter Stegen,28,Goalkeeper,Germany,FC Barcelona,£67.50m 
32,Roberto Firmino,29,Centre-Forward,Brazil,Liverpool FC,£64.80m 
33,Lautaro Martínez,23,Centre-Forward,Argentina,Inter Milan,£63.00m 
34,Federico Valverde,22,Central Midfield,Uruguay,Real Madrid,£63.00m 
35,Frenkie de Jong,23,Central Midfield,Netherlands,FC Barcelona,£63.00m 
36,Matthijs de Ligt,21,Centre-Back,Netherlands,Juventus FC,£63.00m 
37,José Giménez,25,Centre-Back,Uruguay,Atlético Madrid,£63.00m 
38,N'Golo Kanté,29,Central Midfield,France,Chelsea FC,£63.00m 
39,Leroy Sané,24,Left Winger,Germany,Bayern Munich,£63.00m 
40,Marquinhos,26,Centre-Back,Brazil,Paris Saint-Germain,£63.00m 
41,Timo Werner,24,Centre-Forward,Germany,Chelsea FC,£63.00m 
42,Raphaël Varane,27,Centre-Back,France,Real Madrid,£63.00m 
43,Saúl Ñíguez,25,Central Midfield,Spain,Atlético Madrid,£63.00m 
44,Sergej Milinkovic-Savic,25,Central Midfield,Serbia,SS Lazio,£58.50m 
45,Kalidou Koulibaly,29,Centre-Back,Senegal,SSC Napoli,£58.50m 
46,David Alaba,28,Centre-Back,Austria,Bayern Munich,£58.50m 
47,Casemiro,28,Defensive Midfield,Brazil,Real Madrid,£58.50m 
48,Rodri,24,Defensive Midfield,Spain,Manchester City,£57.60m 
49,Phil Foden,20,Central Midfield,England,Manchester City,£54.00m 
50,Richarlison,23,Centre-Forward,Brazil,Everton FC,£54.00m 
51,Gabriel Jesus,23,Centre-Forward,Brazil,Manchester City,£54.00m 
52,Arthur,24,Central Midfield,Brazil,Juventus FC,£54.00m 
53,Mikel Oyarzabal,23,Left Winger,Spain,Real Sociedad,£54.00m 
54,Dayot Upamecano,22,Centre-Back,France,RB Leipzig,£54.00m 
55,Gianluigi Donnarumma,21,Goalkeeper,Italy,AC Milan,£54.00m 
56,Christian Pulisic,22,Left Winger,United States,Chelsea FC,£54.00m 
57,Fabinho,27,Defensive Midfield,Brazil,Liverpool FC,£54.00m 
58,Anthony Martial,24,Centre-Forward,France,Manchester United,£54.00m 
59,Aymeric Laporte,26,Centre-Back,France,Manchester City,£54.00m 
60,Leon Goretzka,25,Central Midfield,Germany,Bayern Munich,£54.00m 
61,Stefan de Vrij,28,Centre-Back,Netherlands,Inter Milan,£54.00m 
62,Marco Verratti,28,Central Midfield,Italy,Paris Saint-Germain,£54.00m 
63,Philippe Coutinho,28,Attacking Midfield,Brazil,FC Barcelona,£54.00m 
64,Koke,28,Central Midfield,Spain,Atlético Madrid,£54.00m 
65,Eden Hazard,29,Left Winger,Belgium,Real Madrid,£54.00m 
66,Robert Lewandowski,32,Centre-Forward,Poland,Bayern Munich,£54.00m 
67,Cristiano Ronaldo,35,Left Winger,Portugal,Juventus FC,£54.00m 
68,Ederson,27,Goalkeeper,Brazil,Manchester City,£50.40m 
69,Declan Rice,21,Defensive Midfield,England,West Ham United,£49.50m 
70,James Maddison,23,Attacking Midfield,England,Leicester City,£49.50m 
71,Mauro Icardi,27,Centre-Forward,Argentina,Paris Saint-Germain,£49.50m 
72,Dele Alli,24,Attacking Midfield,England,Tottenham Hotspur,£46.80m 
73,Eduardo Camavinga,17,Central Midfield,France,Stade Rennais FC,£45.00m 
74,Mason Greenwood,19,Right Winger,England,Manchester United,£45.00m 
75,Renan Lodi,22,Left-Back,Brazil,Atlético Madrid,£45.00m 
76,Victor Osimhen,21,Centre-Forward,Nigeria,SSC Napoli,£45.00m 
77,Achraf Hakimi,22,Right Midfield,Morocco,Inter Milan,£45.00m 
78,Houssem Aouar,22,Central Midfield,France,Olympique Lyon,£45.00m 
79,Vinícius Júnior,20,Left Winger,Brazil,Real Madrid,£45.00m 
80,Rodrigo Bentancur,23,Central Midfield,Uruguay,Juventus FC,£45.00m 
81,Fabián Ruiz,24,Central Midfield,Spain,SSC Napoli,£45.00m 
82,Diego Carlos,27,Centre-Back,Brazil,Sevilla FC,£45.00m 
83,Ben Chilwell,23,Left-Back,England,Chelsea FC,£45.00m 
84,Ousmane Dembélé,23,Right Winger,France,FC Barcelona,£45.00m 
85,Rúben Dias,23,Centre-Back,Portugal,Manchester City,£45.00m 
86,Nicolò Barella,23,Central Midfield,Italy,Inter Milan,£45.00m 
87,Thomas,27,Defensive Midfield,Ghana,Arsenal FC,£45.00m 
88,Rúben Neves,23,Defensive Midfield,Portugal,Wolverhampton Wanderers,£45.00m 
89,Milan Skriniar,25,Centre-Back,Slovakia,Inter Milan,£45.00m 
90,Lucas Ocampos,26,Right Winger,Argentina,Sevilla FC,£45.00m 
91,Clément Lenglet,25,Centre-Back,France,FC Barcelona,£45.00m 
92,Harry Maguire,27,Centre-Back,England,Manchester United,£45.00m 
93,Wilfried Zaha,27,Left Winger,Cote d'Ivoire,Crystal Palace,£45.00m 
94,Luis Alberto,28,Attacking Midfield,Spain,SS Lazio,£45.00m 
95,Jorginho,28,Defensive Midfield,Italy,Chelsea FC,£45.00m 
96,Christian Eriksen,28,Attacking Midfield,Denmark,Inter Milan,£45.00m 
97,Pierre-Emerick Aubameyang,31,Centre-Forward,Gabon,Arsenal FC,£45.00m 
98,Miralem Pjanic,30,Defensive Midfield,Bosnia-Herzegovina,FC Barcelona,£45.00m 
99,Toni Kroos,30,Central Midfield,Germany,Real Madrid,£45.00m 
100,Federico Chiesa,23,Right Winger,Italy,Juventus FC,£43.20m 
101,Riyad Mahrez,29,Right Winger,Algeria,Manchester City,£43.20m 
102,Niklas Süle,25,Centre-Back,Germany,Bayern Munich,£43.20m 
103,Lorenzo Insigne,29,Left Winger,Italy,SSC Napoli,£43.20m 
104,Thiago,29,Central Midfield,Spain,Liverpool FC,£43.20m 
105,Dejan Kulusevski,20,Right Winger,Sweden,Juventus FC,£40.50m 
106,Rodrygo,19,Right Winger,Brazil,Real Madrid,£40.50m 
107,Ferran Torres,20,Right Winger,Spain,Manchester City,£40.50m 
108,Nicolò Zaniolo,21,Attacking Midfield,Italy,AS Roma,£40.50m 
109,Benjamin Pavard,24,Right-Back,France,Bayern Munich,£40.50m 
110,Mason Mount,21,Attacking Midfield,England,Chelsea FC,£40.50m 
111,Davinson Sánchez,24,Centre-Back,Colombia,Tottenham Hotspur,£40.50m 
112,Theo Hernández,23,Left-Back,France,AC Milan,£40.50m 
113,Martin Ödegaard,21,Attacking Midfield,Norway,Real Madrid,£40.50m 
114,Alessandro Bastoni,21,Centre-Back,Italy,Inter Milan,£40.50m 
115,Lucas Hernández,24,Left-Back,France,Bayern Munich,£40.50m 
116,Wilfred Ndidi,23,Defensive Midfield,Nigeria,Leicester City,£40.50m 
117,Youri Tielemans,23,Central Midfield,Belgium,Leicester City,£40.50m 
118,Jack Grealish,25,Left Winger,England,Aston Villa,£40.50m 
119,Memphis Depay,26,Left Winger,Netherlands,Olympique Lyon,£40.50m 
120,Ciro Immobile,30,Centre-Forward,Italy,SS Lazio,£40.50m 
121,Mateo Kovacic,26,Central Midfield,Croatia,Chelsea FC,£40.50m 
122,Donny van de Beek,23,Central Midfield,Netherlands,Manchester United,£39.60m 
123,Alexandre Lacazette,29,Centre-Forward,France,Arsenal FC,£37.80m 
124,Sergio Agüero,32,Centre-Forward,Argentina,Manchester City,£37.80m 
125,Ibrahima Konaté,21,Centre-Back,France,RB Leipzig,£36.45m 
126,Aaron Wan-Bissaka,22,Right-Back,England,Manchester United,£36.00m 
127,Tanguy Ndombélé,23,Central Midfield,France,Tottenham Hotspur,£36.00m 
128,Bukayo Saka,19,Left Midfield,England,Arsenal FC,£36.00m 
129,Jules Koundé,21,Centre-Back,France,Sevilla FC,£36.00m 
130,Éder Militão,22,Centre-Back,Brazil,Real Madrid,£36.00m 
131,Nicolas Pépé,25,Right Winger,Cote d'Ivoire,Arsenal FC,£36.00m 
132,Diogo Jota,23,Left Winger,Portugal,Liverpool FC,£36.00m 
133,Denis Zakaria,23,Defensive Midfield,Switzerland,Borussia Mönchengladbach,£36.00m 
134,Tammy Abraham,23,Centre-Forward,England,Chelsea FC,£36.00m 
135,Caglar Söyüncü,24,Centre-Back,Turkey,Leicester City,£36.00m 
136,Dominic Calvert-Lewin,23,Centre-Forward,England,Everton FC,£36.00m 
137,Naby Keïta,25,Central Midfield,Guinea,Liverpool FC,£36.00m 
138,Marco Asensio,24,Right Winger,Spain,Real Madrid,£36.00m 
139,Ferland Mendy,25,Left-Back,France,Real Madrid,£36.00m 
140,Marcos Llorente,25,Second Striker,Spain,Atlético Madrid,£36.00m 
141,Joe Gomez,23,Centre-Back,England,Liverpool FC,£36.00m 
142,Alex Telles,27,Left-Back,Brazil,Manchester United,£36.00m 
143,Kingsley Coman,24,Left Winger,France,Bayern Munich,£36.00m 
144,Moussa Dembélé,24,Centre-Forward,France,Olympique Lyon,£36.00m 
145,Hakim Ziyech,27,Right Winger,Morocco,Chelsea FC,£36.00m 
146,Raúl Jiménez,29,Centre-Forward,Mexico,Wolverhampton Wanderers,£36.00m 
147,Adama Traoré,24,Right Winger,Spain,Wolverhampton Wanderers,£36.00m 
148,Julian Brandt,24,Central Midfield,Germany,Borussia Dortmund,£36.00m 
149,Nathan Aké,25,Centre-Back,Netherlands,Manchester City,£36.00m 
150,Marcelo Brozovic,27,Defensive Midfield,Croatia,Inter Milan,£36.00m 
151,Wissam Ben Yedder,30,Centre-Forward,France,AS Monaco,£36.00m 
152,Daniel Carvajal,28,Right-Back,Spain,Real Madrid,£36.00m 
153,Álvaro Morata,28,Centre-Forward,Spain,Juventus FC,£36.00m 
154,Kyle Walker,30,Right-Back,England,Manchester City,£36.00m 
155,Duván Zapata,29,Centre-Forward,Colombia,Atalanta BC,£36.00m 
156,Ilkay Gündogan,30,Central Midfield,Germany,Manchester City,£36.00m 
157,Georginio Wijnaldum,29,Central Midfield,Netherlands,Liverpool FC,£36.00m 
158,Lukas Klostermann,24,Centre-Back,Germany,RB Leipzig,£34.20m 
159,David Neres,23,Right Winger,Brazil,Ajax Amsterdam,£32.40m 
160,Jonathan Ikoné,22,Attacking Midfield,France,LOSC Lille,£32.40m 
161,André Onana,24,Goalkeeper,Cameroon,Ajax Amsterdam,£32.40m 
162,Alessio Romagnoli,25,Centre-Back,Italy,AC Milan,£32.40m 
163,João Cancelo,26,Right-Back,Portugal,Manchester City,£32.40m 
164,Maxi Gómez,24,Centre-Forward,Uruguay,Valencia CF,£31.50m 
165,Callum Hudson-Odoi,20,Left Winger,England,Chelsea FC,£31.50m 
166,Giovani Lo Celso,24,Central Midfield,Argentina,Tottenham Hotspur,£31.50m 
167,Mikel Merino,24,Central Midfield,Spain,Real Sociedad,£31.50m 
168,Franck Kessié,23,Central Midfield,Cote d'Ivoire,AC Milan,£31.50m 
169,Presnel Kimpembe,25,Centre-Back,France,Paris Saint-Germain,£31.50m 
170,Ángel Correa,25,Right Winger,Argentina,Atlético Madrid,£31.50m 
171,Nélson Semedo,26,Right-Back,Portugal,Wolverhampton Wanderers,£31.50m 
172,Piotr Zielinski,26,Central Midfield,Poland,SSC Napoli,£31.50m 
173,Raphaël Guerreiro,26,Left Midfield,Portugal,Borussia Dortmund,£31.50m 
174,Andrea Belotti,26,Centre-Forward,Italy,Torino FC,£31.50m 
175,Marcel Sabitzer,26,Right Winger,Austria,RB Leipzig,£31.50m 
176,James Rodríguez,29,Attacking Midfield,Colombia,Everton FC,£31.50m 
177,Alex Sandro,29,Left-Back,Brazil,Juventus FC,£31.50m 
178,David de Gea,30,Goalkeeper,Spain,Manchester United,£31.50m 
179,Thomas Müller,31,Second Striker,Germany,Bayern Munich,£31.50m 
180,Wojciech Szczesny,30,Goalkeeper,Poland,Juventus FC,£31.50m 
181,Ismaël Bennacer,22,Defensive Midfield,Algeria,AC Milan,£29.70m 
182,Christopher Nkunku,22,Attacking Midfield,France,RB Leipzig,£29.70m 
183,Hirving Lozano,25,Left Winger,Mexico,SSC Napoli,£29.70m 
184,Mattéo Guendouzi,21,Central Midfield,France,Hertha BSC,£28.80m 
185,Sandro Tonali,20,Defensive Midfield,Italy,AC Milan,£28.80m 
186,Moussa Diaby,21,Left Winger,France,Bayer 04 Leverkusen,£28.80m 
187,Boubacar Kamara,20,Defensive Midfield,France,Olympique Marseille,£28.80m 
188,Dani Ceballos,24,Central Midfield,Spain,Arsenal FC,£28.80m 
189,Marcus Thuram,23,Left Winger,France,Borussia Mönchengladbach,£28.80m 
190,Kieran Tierney,23,Left-Back,Scotland,Arsenal FC,£28.80m 
191,Lorenzo Pellegrini,24,Central Midfield,Italy,AS Roma,£28.80m 
192,Allan Saint-Maximin,23,Left Winger,France,Newcastle United,£28.80m 
193,Ricardo Pereira,27,Right-Back,Portugal,Leicester City,£28.80m 
194,Nabil Fekir,27,Attacking Midfield,France,Real Betis Balompié,£28.80m 
195,Héctor Bellerín,25,Right-Back,Spain,Arsenal FC,£28.80m 
196,Ante Rebic,27,Left Winger,Croatia,AC Milan,£28.80m 
197,Florian Thauvin,27,Right Winger,France,Olympique Marseille,£28.80m 
198,Filip Kostic,28,Left Midfield,Serbia,Eintracht Frankfurt,£28.80m 
199,Matthias Ginter,26,Centre-Back,Germany,Borussia Mönchengladbach,£28.80m 
200,Konstantinos Manolas,29,Centre-Back,Greece,SSC Napoli,£28.80m 
201,Thorgan Hazard,27,Left Winger,Belgium,Borussia Dortmund,£28.80m 
202,Joel Matip,29,Centre-Back,Cameroon,Liverpool FC,£28.80m 
203,Bernd Leno,28,Goalkeeper,Germany,Arsenal FC,£28.80m 
204,Ángel Di María,32,Right Winger,Argentina,Paris Saint-Germain,£28.80m 
205,Dan-Axel Zagadou,21,Centre-Back,France,Borussia Dortmund,£28.35m 
206,Dani Olmo,22,Attacking Midfield,Spain,RB Leipzig,£28.35m 
207,Jonathan David,20,Centre-Forward,Canada,LOSC Lille,£27.00m 
208,Reece James,20,Right-Back,England,Chelsea FC,£27.00m 
209,Trincão,20,Right Winger,Portugal,FC Barcelona,£27.00m 
210,Takefusa Kubo,19,Right Winger,Japan,Villarreal CF,£27.00m 
211,Pau Torres,23,Centre-Back,Spain,Villarreal CF,£27.00m 
212,Carlos Soler,23,Right Midfield,Spain,Valencia CF,£27.00m 
213,Ollie Watkins,24,Centre-Forward,England,Aston Villa,£27.00m 
214,Malcom,23,Right Winger,Brazil,Zenit St. Petersburg,£27.00m 
215,Lucas Torreira,24,Defensive Midfield,Uruguay,Atlético Madrid,£27.00m 
216,Manuel Locatelli,22,Central Midfield,Italy,US Sassuolo,£27.00m 
217,Unai Simón,23,Goalkeeper,Spain,Athletic Bilbao,£27.00m 
218,Rodrigo de Paul,26,Central Midfield,Argentina,Udinese Calcio,£27.00m 
219,Iñaki Williams,26,Centre-Forward,Spain,Athletic Bilbao,£27.00m 
220,Wout Weghorst,28,Centre-Forward,Netherlands,VfL Wolfsburg,£27.00m 
221,Joaquín Correa,26,Second Striker,Argentina,SS Lazio,£27.00m 
222,Konrad Laimer,23,Central Midfield,Austria,RB Leipzig,£27.00m 
223,José Gayà,25,Left-Back,Spain,Valencia CF,£27.00m 
224,Nico Elvedi,24,Centre-Back,Switzerland,Borussia Mönchengladbach,£27.00m 
225,Sébastien Haller,26,Centre-Forward,France,West Ham United,£27.00m 
226,Gerard Moreno,28,Centre-Forward,Spain,Villarreal CF,£27.00m 
227,Alassane Plea,27,Centre-Forward,France,Borussia Mönchengladbach,£27.00m 
228,Kurt Zouma,26,Centre-Back,France,Chelsea FC,£27.00m 
229,Rodrigo,29,Centre-Forward,Spain,Leeds United,£27.00m 
230,Lucas Digne,27,Left-Back,France,Everton FC,£27.00m 
231,Hakan Calhanoglu,26,Attacking Midfield,Turkey,AC Milan,£27.00m 
232,Jesús Corona,27,Right Winger,Mexico,FC Porto,£27.00m 
233,Antonio Rüdiger,27,Centre-Back,Germany,Chelsea FC,£27.00m 
234,Isco,28,Attacking Midfield,Spain,Real Madrid,£27.00m 
235,Jordi Alba,31,Left-Back,Spain,FC Barcelona,£27.00m 
236,Leon Bailey,23,Left Winger,Jamaica,Bayer 04 Leverkusen,£26.55m 
237,Ozan Kabak,20,Centre-Back,Turkey,FC Schalke 04,£26.10m 
238,Bruno Guimarães,22,Central Midfield,Brazil,Olympique Lyon,£25.20m 
239,Gabriel,22,Centre-Back,Brazil,Arsenal FC,£25.20m 
240,Nikola Milenkovic,23,Centre-Back,Serbia,ACF Fiorentina,£25.20m 
241,Harvey Barnes,22,Left Midfield,England,Leicester City,£25.20m 
242,Rafael Leão,21,Centre-Forward,Portugal,AC Milan,£25.20m 
243,Jarrod Bowen,23,Right Winger,England,West Ham United,£25.20m 
244,Steven Bergwijn,23,Left Winger,Netherlands,Tottenham Hotspur,£25.20m 
245,Sergio Reguilón,23,Left-Back,Spain,Tottenham Hotspur,£25.20m 
246,Harry Winks,24,Defensive Midfield,England,Tottenham Hotspur,£25.20m 
247,Thilo Kehrer,24,Centre-Back,Germany,Paris Saint-Germain,£25.20m 
248,Alejandro Grimaldo,25,Left-Back,Spain,SL Benfica,£25.20m 
249,Adrien Rabiot,25,Central Midfield,France,Juventus FC,£25.20m 
250,James Tarkowski,27,Centre-Back,England,Burnley FC,£25.20m 
251,Leander Dendoncker,25,Defensive Midfield,Belgium,Wolverhampton Wanderers,£25.20m 
